video,full_path,true_label,mmd_score,pred_conservative,correct_conservative,pred_balanced,correct_balanced,pred_aggressive,correct_aggressive
Vior-DM8ohhPg0e7.mp4,/home/umflint.edu/mufarooq/Umar_local_data/GenVideo/video/real/Social_Real/Vior-DM8ohhPg0e7.mp4,real,0.2327,real,True,real,True,real,True
_ediitzz-DP5CkLNiNBH.mp4,/home/umflint.edu/mufarooq/Umar_local_data/GenVideo/video/real/Social_Real/_ediitzz-DP5CkLNiNBH.mp4,real,0.7106,real,True,real,True,real,True
_flix-DQBP2bZjJe2.mp4,/home/umflint.edu/mufarooq/Umar_local_data/GenVideo/video/real/Social_Real/_flix-DQBP2bZjJe2.mp4,real,0.7089,real,True,real,True,real,True
_riya-DP8w8GAk7Nv.mp4,/home/umflint.edu/mufarooq/Umar_local_data/GenVideo/video/real/Social_Real/_riya-DP8w8GAk7Nv.mp4,real,1.5322,fake,False,fake,False,fake,False
e_launde-DP1pGq_AWY2.mp4,/home/umflint.edu/mufarooq/Umar_local_data/GenVideo/video/real/Social_Real/e_launde-DP1pGq_AWY2.mp4,real,1.3708,real,True,fake,False,fake,False
euavTf8Y.mp4,/home/umflint.edu/mufarooq/Umar_local_data/GenVideo/video/real/Social_Real/euavTf8Y.mp4,real,0.257,real,True,real,True,real,True
r1.mp4,/home/umflint.edu/mufarooq/Umar_local_data/GenVideo/video/real/Social_Real/r1.mp4,real,0.775,real,True,real,True,real,True
r2.mp4,/home/umflint.edu/mufarooq/Umar_local_data/GenVideo/video/real/Social_Real/r2.mp4,real,0.5719,real,True,real,True,real,True
r3.mp4,/home/umflint.edu/mufarooq/Umar_local_data/GenVideo/video/real/Social_Real/r3.mp4,real,0.2302,real,True,real,True,real,True
r4.mp4,/home/umflint.edu/mufarooq/Umar_local_data/GenVideo/video/real/Social_Real/r4.mp4,real,1.3626,real,True,fake,False,fake,False
r5.mp4,/home/umflint.edu/mufarooq/Umar_local_data/GenVideo/video/real/Social_Real/r5.mp4,real,1.1133,real,True,real,True,fake,False
r6.mp4,/home/umflint.edu/mufarooq/Umar_local_data/GenVideo/video/real/Social_Real/r6.mp4,real,1.0539,real,True,real,True,fake,False
r7.mp4,/home/umflint.edu/mufarooq/Umar_local_data/GenVideo/video/real/Social_Real/r7.mp4,real,0.3835,real,True,real,True,real,True
r8.mp4,/home/umflint.edu/mufarooq/Umar_local_data/GenVideo/video/real/Social_Real/r8.mp4,real,1.0912,real,True,real,True,fake,False
reator1234-DPGNK-NkuHq.mp4,/home/umflint.edu/mufarooq/Umar_local_data/GenVideo/video/real/Social_Real/reator1234-DPGNK-NkuHq.mp4,real,0.9191,real,True,real,True,fake,False
--07WQ2iBlw_000001_000011.mp4,/home/umflint.edu/mufarooq/Umar_local_data/GenVideo/video/real/Kinetics-400/--07WQ2iBlw_000001_000011.mp4,real,0.1541,real,True,real,True,real,True
--33Lscn6sk_000004_000014.mp4,/home/umflint.edu/mufarooq/Umar_local_data/GenVideo/video/real/Kinetics-400/--33Lscn6sk_000004_000014.mp4,real,0.2675,real,True,real,True,real,True
--7VUM9MKg4_000136_000146.mp4,/home/umflint.edu/mufarooq/Umar_local_data/GenVideo/video/real/Kinetics-400/--7VUM9MKg4_000136_000146.mp4,real,0.2464,real,True,real,True,real,True
--7goKgS4kc_000015_000025.mp4,/home/umflint.edu/mufarooq/Umar_local_data/GenVideo/video/real/Kinetics-400/--7goKgS4kc_000015_000025.mp4,real,0.9595,real,True,real,True,fake,False
