video,path,true_label,video_type,nsgvd_score,nsgvd_pred,xception_score,xception_pred,efficientnet_score,efficientnet_pred,clip_vit_score,clip_vit_pred
Vior-DM8ohhPg0e7.mp4,/home/umflint.edu/mufarooq/Umar_local_data/GenVideo/video/real/Social_Real/Vior-DM8ohhPg0e7.mp4,real,face,0.2327,real,,,,,,
_ediitzz-DP5CkLNiNBH.mp4,/home/umflint.edu/mufarooq/Umar_local_data/GenVideo/video/real/Social_Real/_ediitzz-DP5CkLNiNBH.mp4,real,no_face,0.7106,real,,,,,,
_flix-DQBP2bZjJe2.mp4,/home/umflint.edu/mufarooq/Umar_local_data/GenVideo/video/real/Social_Real/_flix-DQBP2bZjJe2.mp4,real,face,0.7089,real,,,,,,
_riya-DP8w8GAk7Nv.mp4,/home/umflint.edu/mufarooq/Umar_local_data/GenVideo/video/real/Social_Real/_riya-DP8w8GAk7Nv.mp4,real,face,1.5322,fake,,,,,,
e_launde-DP1pGq_AWY2.mp4,/home/umflint.edu/mufarooq/Umar_local_data/GenVideo/video/real/Social_Real/e_launde-DP1pGq_AWY2.mp4,real,no_face,1.3708,fake,,,,,,
euavTf8Y.mp4,/home/umflint.edu/mufarooq/Umar_local_data/GenVideo/video/real/Social_Real/euavTf8Y.mp4,real,no_face,0.257,real,,,,,,
r1.mp4,/home/umflint.edu/mufarooq/Umar_local_data/GenVideo/video/real/Social_Real/r1.mp4,real,face,0.775,real,,,,,,
r2.mp4,/home/umflint.edu/mufarooq/Umar_local_data/GenVideo/video/real/Social_Real/r2.mp4,real,face,0.5719,real,,,,,,
r3.mp4,/home/umflint.edu/mufarooq/Umar_local_data/GenVideo/video/real/Social_Real/r3.mp4,real,face,0.2302,real,,,,,,
r4.mp4,/home/umflint.edu/mufarooq/Umar_local_data/GenVideo/video/real/Social_Real/r4.mp4,real,face,1.3626,fake,,,,,,
r5.mp4,/home/umflint.edu/mufarooq/Umar_local_data/GenVideo/video/real/Social_Real/r5.mp4,real,face,1.1133,fake,,,,,,
r6.mp4,/home/umflint.edu/mufarooq/Umar_local_data/GenVideo/video/real/Social_Real/r6.mp4,real,face,1.0539,fake,,,,,,
r7.mp4,/home/umflint.edu/mufarooq/Umar_local_data/GenVideo/video/real/Social_Real/r7.mp4,real,face,0.3835,real,,,,,,
r8.mp4,/home/umflint.edu/mufarooq/Umar_local_data/GenVideo/video/real/Social_Real/r8.mp4,real,face,1.0912,fake,,,,,,
reator1234-DPGNK-NkuHq.mp4,/home/umflint.edu/mufarooq/Umar_local_data/GenVideo/video/real/Social_Real/reator1234-DPGNK-NkuHq.mp4,real,face,0.9191,real,,,,,,
--07WQ2iBlw_000001_000011.mp4,/home/umflint.edu/mufarooq/Umar_local_data/GenVideo/video/real/Kinetics-400/--07WQ2iBlw_000001_000011.mp4,real,no_face,0.1541,real,,,,,,
--33Lscn6sk_000004_000014.mp4,/home/umflint.edu/mufarooq/Umar_local_data/GenVideo/video/real/Kinetics-400/--33Lscn6sk_000004_000014.mp4,real,no_face,0.2675,real,,,,,,
--7VUM9MKg4_000136_000146.mp4,/home/umflint.edu/mufarooq/Umar_local_data/GenVideo/video/real/Kinetics-400/--7VUM9MKg4_000136_000146.mp4,real,face,0.2464,real,,,,,,
--7goKgS4kc_000015_000025.mp4,/home/umflint.edu/mufarooq/Umar_local_data/GenVideo/video/real/Kinetics-400/--7goKgS4kc_000015_000025.mp4,real,no_face,0.9595,real,,,,,,
--7qK_w-g3Y_000185_000195.mp4,/home/umflint.edu/mufarooq/Umar_local_data/GenVideo/video/real/Kinetics-400/--7qK_w-g3Y_000185_000195.mp4,real,no_face,0.2914,real,,,,,,
--8FQVwWH0M_000003_000013.mp4,/home/umflint.edu/mufarooq/Umar_local_data/GenVideo/video/real/Kinetics-400/--8FQVwWH0M_000003_000013.mp4,real,no_face,0.3159,real,,,,,,
--9s8lCov-I_000002_000012.mp4,/home/umflint.edu/mufarooq/Umar_local_data/GenVideo/video/real/Kinetics-400/--9s8lCov-I_000002_000012.mp4,real,no_face,0.4239,real,,,,,,
--AbCB6WSN0_000018_000028.mp4,/home/umflint.edu/mufarooq/Umar_local_data/GenVideo/video/real/Kinetics-400/--AbCB6WSN0_000018_000028.mp4,real,face,0.2348,real,,,,,,
--GF746y6UM_000496_000506.mp4,/home/umflint.edu/mufarooq/Umar_local_data/GenVideo/video/real/Kinetics-400/--GF746y6UM_000496_000506.mp4,real,face,0.2334,real,,,,,,
--ILYNHl3e4_000541_000551.mp4,/home/umflint.edu/mufarooq/Umar_local_data/GenVideo/video/real/Kinetics-400/--ILYNHl3e4_000541_000551.mp4,real,no_face,0.3793,real,,,,,,
--Kr1PZaPDI_000001_000011.mp4,/home/umflint.edu/mufarooq/Umar_local_data/GenVideo/video/real/Kinetics-400/--Kr1PZaPDI_000001_000011.mp4,real,no_face,0.1922,real,,,,,,
--PwWfN1Ae4_000097_000107.mp4,/home/umflint.edu/mufarooq/Umar_local_data/GenVideo/video/real/Kinetics-400/--PwWfN1Ae4_000097_000107.mp4,real,face,0.2791,real,,,,,,
--RVKBMp_2M_000079_000089.mp4,/home/umflint.edu/mufarooq/Umar_local_data/GenVideo/video/real/Kinetics-400/--RVKBMp_2M_000079_000089.mp4,real,no_face,0.5667,real,,,,,,
--SOz3xjWfA_000037_000047.mp4,/home/umflint.edu/mufarooq/Umar_local_data/GenVideo/video/real/Kinetics-400/--SOz3xjWfA_000037_000047.mp4,real,face,0.444,real,,,,,,
--SrV9bGzRA_000197_000207.mp4,/home/umflint.edu/mufarooq/Umar_local_data/GenVideo/video/real/Kinetics-400/--SrV9bGzRA_000197_000207.mp4,real,no_face,1.0429,fake,,,,,,
--TSmh3wj9I_000118_000128.mp4,/home/umflint.edu/mufarooq/Umar_local_data/GenVideo/video/real/Kinetics-400/--TSmh3wj9I_000118_000128.mp4,real,no_face,0.8155,real,,,,,,
--Y25nDn2Wk_000060_000070.mp4,/home/umflint.edu/mufarooq/Umar_local_data/GenVideo/video/real/Kinetics-400/--Y25nDn2Wk_000060_000070.mp4,real,face,0.2852,real,,,,,,
--bGIeO_7Jo_000184_000194.mp4,/home/umflint.edu/mufarooq/Umar_local_data/GenVideo/video/real/Kinetics-400/--bGIeO_7Jo_000184_000194.mp4,real,face,0.6799,real,,,,,,
--dVV4_CSvw_000033_000043.mp4,/home/umflint.edu/mufarooq/Umar_local_data/GenVideo/video/real/Kinetics-400/--dVV4_CSvw_000033_000043.mp4,real,face,0.6448,real,,,,,,
--gEBElruic_000067_000077.mp4,/home/umflint.edu/mufarooq/Umar_local_data/GenVideo/video/real/Kinetics-400/--gEBElruic_000067_000077.mp4,real,no_face,0.1611,real,,,,,,
--kbTDDIiP0_000062_000072.mp4,/home/umflint.edu/mufarooq/Umar_local_data/GenVideo/video/real/Kinetics-400/--kbTDDIiP0_000062_000072.mp4,real,face,0.6581,real,,,,,,
--nQbRBEz2s_000104_000114.mp4,/home/umflint.edu/mufarooq/Umar_local_data/GenVideo/video/real/Kinetics-400/--nQbRBEz2s_000104_000114.mp4,real,no_face,0.3539,real,,,,,,
--o545tThdQ_000088_000098.mp4,/home/umflint.edu/mufarooq/Umar_local_data/GenVideo/video/real/Kinetics-400/--o545tThdQ_000088_000098.mp4,real,face,0.526,real,,,,,,
--oEIzy6Esc_000045_000055.mp4,/home/umflint.edu/mufarooq/Umar_local_data/GenVideo/video/real/Kinetics-400/--oEIzy6Esc_000045_000055.mp4,real,face,0.6953,real,,,,,,
--oJV4vFNeI_000003_000013.mp4,/home/umflint.edu/mufarooq/Umar_local_data/GenVideo/video/real/Kinetics-400/--oJV4vFNeI_000003_000013.mp4,real,face,0.996,real,,,,,,
--rC9Wkh6HA_000179_000189.mp4,/home/umflint.edu/mufarooq/Umar_local_data/GenVideo/video/real/Kinetics-400/--rC9Wkh6HA_000179_000189.mp4,real,face,0.4019,real,,,,,,
--rd8woSLiM_000041_000051.mp4,/home/umflint.edu/mufarooq/Umar_local_data/GenVideo/video/real/Kinetics-400/--rd8woSLiM_000041_000051.mp4,real,no_face,1.4281,fake,,,,,,
--sGO9m2Was_000000_000010.mp4,/home/umflint.edu/mufarooq/Umar_local_data/GenVideo/video/real/Kinetics-400/--sGO9m2Was_000000_000010.mp4,real,no_face,1.5432,fake,,,,,,
--uGS0Y4D6k_000009_000019.mp4,/home/umflint.edu/mufarooq/Umar_local_data/GenVideo/video/real/Kinetics-400/--uGS0Y4D6k_000009_000019.mp4,real,no_face,0.4316,real,,,,,,
--wYHtYMK9o_000008_000018.mp4,/home/umflint.edu/mufarooq/Umar_local_data/GenVideo/video/real/Kinetics-400/--wYHtYMK9o_000008_000018.mp4,real,face,0.9248,real,,,,,,
--yCUKj4Oq4_000018_000028.mp4,/home/umflint.edu/mufarooq/Umar_local_data/GenVideo/video/real/Kinetics-400/--yCUKj4Oq4_000018_000028.mp4,real,no_face,0.184,real,,,,,,
-0-s1eu4sF4_000031_000041.mp4,/home/umflint.edu/mufarooq/Umar_local_data/GenVideo/video/real/Kinetics-400/-0-s1eu4sF4_000031_000041.mp4,real,no_face,0.1821,real,,,,,,
-02UO1KSdZ0_000025_000035.mp4,/home/umflint.edu/mufarooq/Umar_local_data/GenVideo/video/real/Kinetics-400/-02UO1KSdZ0_000025_000035.mp4,real,no_face,0.293,real,,,,,,
-05qSkAhM6Y_000205_000215.mp4,/home/umflint.edu/mufarooq/Umar_local_data/GenVideo/video/real/Kinetics-400/-05qSkAhM6Y_000205_000215.mp4,real,no_face,0.3757,real,,,,,,
-081qTv9fXc_000216_000226.mp4,/home/umflint.edu/mufarooq/Umar_local_data/GenVideo/video/real/Kinetics-400/-081qTv9fXc_000216_000226.mp4,real,no_face,0.2823,real,,,,,,
-09lBxmFoWE_000030_000040.mp4,/home/umflint.edu/mufarooq/Umar_local_data/GenVideo/video/real/Kinetics-400/-09lBxmFoWE_000030_000040.mp4,real,face,0.3891,real,,,,,,
-0BveUV52cM_000043_000053.mp4,/home/umflint.edu/mufarooq/Umar_local_data/GenVideo/video/real/Kinetics-400/-0BveUV52cM_000043_000053.mp4,real,no_face,0.1696,real,,,,,,
-0CNBzthkZ4_000004_000014.mp4,/home/umflint.edu/mufarooq/Umar_local_data/GenVideo/video/real/Kinetics-400/-0CNBzthkZ4_000004_000014.mp4,real,face,0.7664,real,,,,,,
-0COMyPvkHU_000061_000071.mp4,/home/umflint.edu/mufarooq/Umar_local_data/GenVideo/video/real/Kinetics-400/-0COMyPvkHU_000061_000071.mp4,real,face,0.1835,real,,,,,,
-0Eu83ggVq4_000235_000245.mp4,/home/umflint.edu/mufarooq/Umar_local_data/GenVideo/video/real/Kinetics-400/-0Eu83ggVq4_000235_000245.mp4,real,face,0.4096,real,,,,,,
-0FzHADcl10_000005_000015.mp4,/home/umflint.edu/mufarooq/Umar_local_data/GenVideo/video/real/Kinetics-400/-0FzHADcl10_000005_000015.mp4,real,no_face,0.8057,real,,,,,,
-0HUfPFdLKE_000004_000014.mp4,/home/umflint.edu/mufarooq/Umar_local_data/GenVideo/video/real/Kinetics-400/-0HUfPFdLKE_000004_000014.mp4,real,no_face,0.8997,real,,,,,,
-0IErS_cisg_000017_000027.mp4,/home/umflint.edu/mufarooq/Umar_local_data/GenVideo/video/real/Kinetics-400/-0IErS_cisg_000017_000027.mp4,real,face,0.5149,real,,,,,,
-0IEt9-NeV4_000637_000647.mp4,/home/umflint.edu/mufarooq/Umar_local_data/GenVideo/video/real/Kinetics-400/-0IEt9-NeV4_000637_000647.mp4,real,face,0.1969,real,,,,,,
-0L4fgr5GE0_000001_000011.mp4,/home/umflint.edu/mufarooq/Umar_local_data/GenVideo/video/real/Kinetics-400/-0L4fgr5GE0_000001_000011.mp4,real,face,0.1788,real,,,,,,
